gvkey,ticker,company,fyear,sector,total_assets,sales,price,roa,op_margin,leverage,tobins_q,rd_intensity,sales_growth,board_size,n_women_board,pct_women_board,avg_board_tenure,n_exec,pct_women_exec,ceo_duality,esg_score,esg_combined,esg_controversies,env_pillar,soc_pillar,gov_pillar,total_vol,idio_vol,beta
001004,AIR,AAR CORP,2015,Industrials,1442.1,1662.6,24.41,0.0331,0.0398,0.1027,0.9839,,0.0428,13.0,1.0,0.0769,6.491,6.0,0.0,1.0,0.7835,0.7835,1.0,0.9677,0.7607,0.6793,0.383,0.3,1.9063
001004,AIR,AAR CORP,2016,Industrials,1504.1,1767.6,34.94,0.0376,0.0437,0.1046,1.1902,,0.0632,14.0,1.0,0.0714,6.897,6.0,0.0,1.0,0.2465,0.2465,1.0,0.0476,0.4076,0.174,0.3249,0.2901,1.5136
001004,AIR,AAR CORP,2017,Industrials,1524.7,1748.3,44.69,0.0102,0.0492,0.1162,1.4035,,-0.0109,12.0,1.0,0.0833,6.9897,6.0,0.0,1.0,0.2495,0.2495,1.0,0.0505,0.3355,0.279,0.3027,0.2737,1.3223
001004,AIR,AAR CORP,2018,Industrials,1517.2,2051.8,30.09,0.0049,0.054,0.0934,1.0928,,0.1736,12.0,1.0,0.0833,7.8316,5.0,0.0,0.0,0.2689,0.2689,1.0,0.0247,0.3372,0.3556,0.3026,0.2724,1.1265
001004,AIR,AAR CORP,2019,Industrials,2079.0,2089.3,20.17,0.0021,0.0509,0.3293,0.9064,,0.0183,12.0,1.0,0.0833,7.799,6.0,0.1667,0.0,0.2694,0.2694,1.0,0.023,0.3614,0.3253,0.3922,0.3039,1.6231
001004,AIR,AAR CORP,2020,Industrials,1539.7,1651.4,41.75,0.0233,0.0397,0.1332,1.3264,,-0.2096,12.0,2.0,0.1667,6.2352,5.0,0.2,0.0,0.2847,0.2847,1.0,0.0551,0.3826,0.3204,0.438,0.3422,1.7564
001004,AIR,AAR CORP,2021,Industrials,1573.9,1817.1,48.22,0.05,0.0639,0.1064,1.427,,0.1003,12.0,2.0,0.1667,7.2345,5.0,0.2,0.0,0.4378,0.4378,1.0,0.2368,0.5284,0.4623,0.4317,0.3442,1.542
001004,AIR,AAR CORP,2022,Industrials,1833.1,1990.6,50.11,0.0492,0.0761,0.1801,1.3549,,0.0955,10.0,2.0,0.2,6.0621,5.0,0.2,1.0,0.4038,0.3729,0.3421,0.2356,0.5385,0.3445,0.4585,0.3479,1.565
001004,AIR,AAR CORP,2023,Industrials,2770.0,2321.2,70.99,0.0167,0.0751,0.3895,1.4852,,0.1661,12.0,2.0,0.1667,5.9569,5.0,0.4,1.0,0.5081,0.5081,1.0,0.2006,0.5957,0.615,0.4643,0.3618,1.5622
001004,AIR,AAR CORP,2024,Industrials,2844.6,2767.0,61.41,0.0044,0.0846,0.3726,1.3476,,0.1921,12.0,3.0,0.25,5.9199,5.0,0.2,1.0,0.5154,0.5154,1.0,0.2047,0.5822,0.6528,0.4093,0.3353,1.4341
001004,AIR,AAR CORP,2025,Industrials,3355.9,3308.0,112.62,0.0559,0.0903,0.3016,1.8306,,0.1955,12.0,3.0,0.25,6.9192,,,,0.5087,0.5087,0.7333,0.2177,0.5803,0.625,0.3369,0.2778,1.2239
001045,AAL,AMERICAN AIRLINES GROUP INC,2015,Industrials,48415.0,40990.0,42.35,0.1572,0.1777,0.4247,1.43,,-0.0389,14.0,2.0,0.1429,9.8879,5.0,0.0,1.0,0.8143,0.502,0.15,0.8552,0.8697,0.6651,0.652,0.6563,0.5955
001045,AAL,AMERICAN AIRLINES GROUP INC,2016,Industrials,51274.0,40180.0,46.69,0.0522,0.1495,0.4748,1.3881,,-0.0198,14.0,2.0,0.1429,10.89,6.0,0.1667,1.0,0.7981,0.6953,0.6379,0.8645,0.7618,0.7624,0.4281,0.4292,0.5674
001045,AAL,AMERICAN AIRLINES GROUP INC,2017,Industrials,51396.0,42207.0,52.03,0.0373,0.1135,0.4877,1.405,,0.0504,14.0,2.0,0.1429,11.8893,5.0,0.2,1.0,0.752,0.752,1.0,0.8548,0.7777,0.5626,0.3573,0.347,1.0077
001045,AAL,AMERICAN AIRLINES GROUP INC,2018,Industrials,60580.0,44541.0,32.11,0.0233,0.0774,0.5617,1.2469,,0.0553,13.0,2.0,0.1538,13.4909,5.0,0.2,1.0,0.8186,0.8186,0.8462,0.8332,0.8135,0.806,0.3675,0.3395,1.3107
001045,AAL,AMERICAN AIRLINES GROUP INC,2019,Industrials,59995.0,45768.0,28.68,0.0281,0.081,0.5574,1.2067,,0.0275,11.0,2.0,0.1818,16.0231,5.0,0.2,1.0,0.816,0.816,0.9569,0.8262,0.8408,0.7609,0.3449,0.285,1.5937
