host_tenure,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,room_type,accommodates,bathrooms,bedrooms,beds,price_per_night,minimum_nights,number_of_reviews,number_of_reviews_ly,review_scores_rating,reviews_per_month
Veteran,t,6,t,t,Arganzuela,Private room,1,1,1,1,22.12,30,1,1,5,0.08
Veteran,f,34,t,t,Arganzuela,Private room,1,1,1,1,22.83,24,1,0,5,0.27
Veteran,f,60,t,t,Arganzuela,Private room,2,2,1,1,26.65,30,1,1,5,0.09
Established,t,5,t,t,Arganzuela,Private room,1,2,1,1,29.1,20,1,1,5,0.08
New,f,174,t,t,Arganzuela,Private room,1,2,1,1,32.07,15,1,0,5,0.04
Veteran,f,2,t,t,Arganzuela,Private room,2,1,1,1,33.39,31,1,0,5,1
New,f,18,f,t,Arganzuela,Private room,1,1,1,1,35.71,31,1,1,5,0.09
New,f,7,t,t,Arganzuela,Entire home/apt,4,1,1,2,53.3,30,1,0,4,1
New,f,7,t,t,Arganzuela,Entire home/apt,4,1,1,2,53.3,30,1,0,5,1
New,f,194,t,t,Arganzuela,Entire home/apt,1,1,1,1,58.63,30,1,1,4,0.13
New,f,194,t,t,Arganzuela,Entire home/apt,2,1,1,1,61.06,30,1,1,1,0.14
Veteran,f,5,t,t,Arganzuela,Private room,1,1,1,1,65.21,14,1,0,5,0.03
Established,f,6,t,t,Arganzuela,Entire home/apt,2,1,1,1,71.75,4,1,0,5,1
New,f,194,t,t,Arganzuela,Entire home/apt,2,1,1,1,74.13,30,1,1,2,0.1
New,f,2,t,t,Arganzuela,Entire home/apt,2,1,1,1,78.3,20,1,0,5,0.2
Established,t,6,t,t,Arganzuela,Entire home/apt,3,1,1,2,84.29,4,1,0,5,1
New,f,194,t,t,Arganzuela,Entire home/apt,5,1,3,3,94.03,30,1,1,5,0.1
New,f,6,t,t,Arganzuela,Entire home/apt,3,1,1,2,111,1,1,1,3,0.16
New,f,1,t,t,Arganzuela,Private room,1,1,1,1,115,1,1,0,1,0.05
Established,f,1,t,t,Arganzuela,Entire home/apt,4,1,3,3,120.06,32,1,1,5,0.06
Established,f,21,t,t,Arganzuela,Entire home/apt,2,1,1,1,125,1,1,0,4,0.43
Veteran,f,109,t,t,Arganzuela,Private room,5,1,2,3,133,1,1,0,4,1
New,f,194,t,t,Arganzuela,Entire home/apt,4,2,2,2,133.87,30,1,1,4,0.1
New,t,5,t,t,Arganzuela,Entire home/apt,3,1,2,2,134.5,2,1,0,5,0.27
New,f,194,t,t,Arganzuela,Entire home/apt,4,1,2,2,137.17,30,1,0,4,0.03
New,f,1,f,t,Arganzuela,Entire home/apt,2,1,1,2,146.76,1,1,1,5,0.14
Veteran,f,28,t,t,Arganzuela,Private room,1,1,4,4,158,3,1,0,5,0.02
Veteran,f,181,t,t,Arganzuela,Entire home/apt,2,1,1,1,161,2,1,1,4,0.1
Veteran,f,1,t,t,Arganzuela,Entire home/apt,4,1,1,2,166.5,2,1,0,5,0.02
New,f,11,t,t,Arganzuela,Private room,2,1,1,1,172,1,1,0,5,0.03
New,f,11,t,t,Arganzuela,Private room,2,1,1,2,172,1,1,0,5,1
New,f,11,t,t,Arganzuela,Private room,3,1,1,2,173,1,1,0,4,0.03
Established,t,2,t,t,Arganzuela,Entire home/apt,3,1,2,2,173.67,30,1,1,5,0.08
Established,f,1,t,t,Arganzuela,Entire home/apt,2,1,1,1,180,2,1,0,5,1
Veteran,f,6,t,t,Arganzuela,Private room,4,1,1,4,198,1,1,1,5,0.13
New,f,11,t,t,Arganzuela,Private room,8,1,1,8,218,1,1,0,5,0.03
Established,f,70,t,t,Arganzuela,Entire home/apt,2,1,1,1,233,1,1,0,5,1
Veteran,f,38,t,t,Arganzuela,Entire home/apt,2,1,1,1,234,1,1,1,5,0.07
New,f,1,t,t,Arganzuela,Entire home/apt,5,2,2,3,257,2,1,0,5,0.38
New,f,1,t,t,Arganzuela,Entire home/apt,4,1,2,3,257.5,2,1,0,5,0.03
Veteran,f,6,t,t,Arganzuela,Private room,2,1,1,1,685,1,1,0,1,0.05
Veteran,f,1,t,t,Arganzuela,Entire home/apt,2,1,1,,,1,1,0,5,0.01
New,f,174,t,t,Arganzuela,Private room,1,2,1,1,,32,1,0,4,0.04
New,f,174,t,t,Arganzuela,Private room,1,2,1,1,,32,1,0,3,0.04
Veteran,f,2,t,t,Barajas,Private room,2,2,4,,15.77,60,1,0,5,0.01
Established,f,476,t,t,Barajas,Entire home/apt,2,1,1,1,70.93,1,1,0,5,0.05
New,t,25,t,t,Barajas,Private room,2,1,1,1,120,1,1,0,5,1
New,f,1,t,t,Barajas,Private room,1,1,1,1,155,1,1,0,5,0.21
Established,f,18,t,t,Barajas,Entire home/apt,6,2,2,3,172.5,2,1,0,5,0.68
New,f,7,f,t,Barajas,Entire home/apt,4,2.5,2,2,192,2,1,0,1,0.3
New,t,3,t,t,Barajas,Entire home/apt,6,3,3,4,989,4,1,1,5,0.07
New,f,2,t,t,Carabanchel,Private room,1,1,1,1,11,1,1,0,5,0.03
Established,t,15,t,t,Carabanchel,Private room,1,2,1,1,22.9,32,1,0,5,1
New,f,1,t,t,Carabanchel,Private room,1,1,1,1,23,1,1,0,4,0.03
Veteran,f,3,t,t,Carabanchel,Private room,1,1,1,1,23.89,30,1,0,5,0.04
Established,t,15,t,t,Carabanchel,Private room,2,2,1,1,30.65,32,1,0,5,0.04
Established,f,1,t,t,Carabanchel,Private room,1,1.5,1,1,35,1,1,0,5,0.03
Veteran,f,1,t,t,Carabanchel,Private room,2,1,1,,35.6,30,1,0,1,0.03
